Human subject ID,Subjective opinion (Korean),Subjective opinion (English – Papago translation),Subjective opinion (English – Na Min’s translation)
300,난이도가 굉장히 어렵게 느껴졌습니다. ,I felt the difficulty level of difficulty. ,
,"특히 앞서 본 시간과 다른 자세, 표정 등이 낯설었습니다.","In particular, I was unfamiliar with the posture and expression that were different from the time I saw earlier.",
,사람 인식 시에는 그 사람의 특징을 기억하고자 머리 모양이나 옷깃 등에 주목하였습니다.,"When recognizing a person, I paid attention to his hair shape and collar to remember his characteristics.",
,"뒤로 갈수록 사람마다 특징, 얼굴 모양이 기억에 남아 초반에 비하면 상대적으로 덜 어렵게 느껴졌습니다.","As time went by, each person's characteristics and face shape were remembered, so it felt relatively less difficult than in the beginning.",
301,난이도는 매우 상,Difficulty level is very high,
,머리나 주변 배경 위주로 찾은 것 같음,I think I focused on my hair or surrounding background,
,단순 작업이다 보니 뒤로 갈수록 집중력이 흐트러짐.,"Since it's a simple task, my concentration gets worse as I go back.",
,추상적인 문제가 많아 찍게된 경우나 그냥 넘어간 문제가 많음.,"There are a lot of abstract problems, so there are a lot of problems that I took, or there are a lot of problems.",
302,"1. Pre-test에서는 동일한 부분(혹은 유사 부분)을 픽셀화된 (화질을 낮추게 한) 사진은 고르게 하였지만, 본 test 진입하였을 때에는 사람의 정면 사진을 닮은 고르게 구성이 되었지만 그런데 보여준 사람의 다양성으로 (웃는 얼 굴, 옆면을 보는 등) 인해 고르기가 굉장히 난감함.","1. In the pre-test, the same part (or similar part) was pixelated (lowering image quality) but when entering this test, it was evenly composed that resembles a person's front picture, but it was difficult to choose due to the diversity of the person shown (smiling face, looking at the side, etc.).",
,2. 상기 이유로 인해 처음 제시하는 사진이 화질 저하에 되는 점에 있어서는 변수가 될 수 있다는 생각이 되지만 옆모습이나 웃는 모습 등의 사진을 제시하고 나서 사람의 정면 사진을 고르라고 하는 것은 피험자에 있어 굉장히 불편할 수 있는 상황이라 생각됨.,"2. For the above reasons, I think it can be a variable in that the first picture presented deteriorates the image quality, but it can be very inconvenient for the subject to suggest a picture of a person's front face after presenting a picture such as a profile or a smile.",
,3. 화질 저하가 최대로 되었을 때에는 최대한 정명사진의 것으로 제시하여야 하지 않나 판단됨.,"3. When the deterioration of image quality is maximized, it is judged that it should be presented as a regular picture as much as possible.",
303,문제가 어렵습니다.,The problem is difficult.,
,문제가 너무 많아요.,There are too many problems.,
,"주로 윤곽, 머리 위주를 보고 골랐습니다.",I chose it mainly based on The outline and The head.,
304,"인식 주목: 남녀 판단, 얼굴형, 앞머리 위주로 판단함","Attention to perception: male and female judgment, face shape, and bangs are mainly judged",
,난이도: 어려움,Difficulty: Difficulty,
305,많이 어려움. 머리 스타일(앞머리 묶음 등)에 주목. 얼굴형 외에도 주목. 명암없이 흑백으로만 나타날 때 구분이 불가능함. 얼굴형 이외의 사진의 배경으로도 알아볼 수 있는 요소가 있음.,"Very difficult. Pay attention to your hairstyle (braid, etc.). Pay attention to your face shape. It is impossible to distinguish when it appears only in black and white without light. There is also an element that can be recognized as a background of a picture other than a face shape.",
306,"몇 몇 그림들은 사람 얼굴인지 알아보기 너무 어려워서 찍은 것들이 많습니다. 나머지 그림은 얼굴 윤곽, 헤어스타일 (M자 이마, 머리핀) 극복했습니다. 재밌었습니다. 감사합니다.","Some of the paintings were taken because it was so hard to tell if they were human faces. The rest of the painting overcame the facial contour, hairstyle (M-shaped forehead, hairpin). It was fun. Thank you.",
