Human subject ID,Subjective opinion (Korean),Subjective opinion (English – DeepL translation),Level of Difficulty,Focused Facial Features
300,난이도가 굉장히 어렵게 느껴졌습니다. ,I found the difficulty level very challenging. ,I found the difficulty level very challenging. ,"When recognizing people, I paid attention to their hairstyle, collar, etc. to remember their features."
,"특히 앞서 본 시간과 다른 자세, 표정 등이 낯설었습니다.","In particular, the postures and facial expressions were unfamiliar to me.","In particular, the postures and facial expressions were unfamiliar to me.","As I went backwards, I remembered the features of each person and the shape of their face, making it less difficult than it was in the beginning."
,사람 인식 시에는 그 사람의 특징을 기억하고자 머리 모양이나 옷깃 등에 주목하였습니다.,"When recognizing people, I paid attention to their hairstyle, collar, etc. to remember their features.",,
,"뒤로 갈수록 사람마다 특징, 얼굴 모양이 기억에 남아 초반에 비하면 상대적으로 덜 어렵게 느껴졌습니다.","As I went backwards, I remembered the features of each person and the shape of their face, making it less difficult than it was in the beginning.",,
301,난이도는 매우 상,The difficulty level is very high,The difficulty level is very high,You seem to be looking for things in your head or in the background
,머리나 주변 배경 위주로 찾은 것 같음,You seem to be looking for things in your head or in the background,The simplicity of the task made me lose focus the further back I went.,
,단순 작업이다 보니 뒤로 갈수록 집중력이 흐트러짐.,The simplicity of the task made me lose focus the further back I went.,There were many abstract problems that I was forced to take pictures of or that I skipped over.,
,추상적인 문제가 많아 찍게된 경우나 그냥 넘어간 문제가 많음.,There were many abstract problems that I was forced to take pictures of or that I skipped over.,,
302,"1. Pre-test에서는 동일한 부분(혹은 유사 부분)을 픽셀화된 (화질을 낮추게 한) 사진은 고르게 하였지만, 본 test 진입하였을 때에는 사람의 정면 사진을 닮은 고르게 구성이 되었지만 그런데 보여준 사람의 다양성으로 (웃는 얼 굴, 옆면을 보는 등) 인해 고르기가 굉장히 난감함.","1. In the pre-test, the pixelated (degraded) photos of the same part (or similar parts) were evenly distributed, but when the test entered the main test, the photos were evenly composed to resemble frontal photos of people, but it was very difficult to choose due to the variety of people shown (smiling faces, side views, etc.).","In the pre-test, the pixelated (degraded) photos of the same part (or similar parts) were evenly distributed, but when the test entered the main test, the photos were evenly composed to resemble frontal photos of people, but it was very difficult to choose due to the variety of people shown (smiling faces, side views, etc.).",
,2. 상기 이유로 인해 처음 제시하는 사진이 화질 저하에 되는 점에 있어서는 변수가 될 수 있다는 생각이 되지만 옆모습이나 웃는 모습 등의 사진을 제시하고 나서 사람의 정면 사진을 고르라고 하는 것은 피험자에 있어 굉장히 불편할 수 있는 상황이라 생각됨.,"2. For the above reasons, we believe that the first photo presented can be a variable in terms of image quality degradation, but we believe that it is a very uncomfortable situation for subjects to be asked to choose a frontal photo of a person after being presented with side views, smiling faces, etc.",,
,3. 화질 저하가 최대로 되었을 때에는 최대한 정명사진의 것으로 제시하여야 하지 않나 판단됨.,"3. When the image quality degradation is maximized, it is judged that it should be presented as a frontal photo as much as possible.",,
303,- 문제가 어렵습니다.,- The problem is hard.,- The problem is hard.,"- I picked it based on contour, head, etc."
,- 문제가 너무 많아요.,- There are so many problems.,- There are so many problems.,
,"- 주로 윤곽, 머리 위주를 보고 골랐습니다.","- I picked it based on contour, head, etc.",,
304,"인식 주목: 남녀 판단, 얼굴형, 앞머리 위주로 판단함","Recognition Spotlight: Gender, Face Shape, and Bangs",Difficulty: Hard,"Recognition Spotlight: Gender, Face Shape, and Bangs"
,난이도: 어려움,Difficulty: Hard,,
305,많이 어려움. 머리 스타일(앞머리 묶음 등)에 주목. 얼굴형 외에도 주목. 명암없이 흑백으로만 나타날 때 구분이 불가능함. 얼굴형 이외의 사진의 배경으로도 알아볼 수 있는 요소가 있음.,"A lot of difficulty. Attention to hair style (bangs in a bun, etc.). Note the face shape as well. Unrecognizable in black and white with no contrast. Something recognizable in the background of the photo other than the face shapes.",A lot of difficulty,"Attention to hair style (bangs in a bun, etc.). Note the face shape as well. Unrecognizable in black and white with no contrast. Something recognizable in the background of the photo other than the face shapes."
306,"몇 몇 그림들은 사람 얼굴인지 알아보기 너무 어려워서 찍은 것들이 많습니다. 나머지 그림은 얼굴 윤곽, 헤어스타일 (M자 이마, 머리핀) 극복했습니다. 재밌었습니다. 감사합니다.","Some of the pictures were so hard to recognize as human faces. The rest of the pictures I overcame facial contours, hairstyles (M-shaped forehead, hairpins), etc. It was fun. Thank you.",Some of the pictures were so hard to recognize as human faces.,"The rest of the pictures I overcame facial contours, hairstyles (M-shaped forehead, hairpins), etc."
